BPP_final,OPP_final,P
5.0,15.0,0.0038
5.0,16.0,0.0001
5.0,17.0,0.0001
6.0,1.0,0.0192
6.0,2.0,0.012
6.0,3.0,0.0247
6.0,4.0,0.0552
6.0,5.0,0.1185
6.0,6.0,0.3382
6.0,7.0,0.0542
6.0,8.0,0.0182
6.0,9.0,0.0
6.0,10.0,0.0172
6.0,11.0,0.221
6.0,12.0,0.0381
6.0,13.0,0.0447
6.0,14.0,0.0251
6.0,15.0,0.013
6.0,16.0,0.0005
6.0,17.0,0.0
7.0,1.0,0.0185
7.0,2.0,0.0116
7.0,3.0,0.0235
7.0,4.0,0.0528
7.0,5.0,0.1148
7.0,6.0,0.1081
7.0,7.0,0.2928
7.0,8.0,0.0189
7.0,9.0,0.0
7.0,10.0,0.0175
7.0,11.0,0.2219
7.0,12.0,0.039
7.0,13.0,0.0443
7.0,14.0,0.0227
7.0,15.0,0.0134
7.0,16.0,0.0003
7.0,17.0,0.0001
8.0,1.0,0.0175
8.0,2.0,0.0015
8.0,3.0,0.0356
8.0,4.0,0.0525
8.0,5.0,0.1151
8.0,6.0,0.1077
8.0,7.0,0.0531
8.0,8.0,0.2608
8.0,9.0,0.0
8.0,10.0,0.0225
8.0,11.0,0.2287
8.0,12.0,0.0362
8.0,13.0,0.0332
8.0,14.0,0.0211
8.0,15.0,0.0136
8.0,16.0,0.0009
8.0,17.0,0.0
9.0,1.0,0.0
9.0,2.0,0.0
9.0,3.0,0.0
9.0,4.0,0.0
9.0,5.0,0.0
9.0,6.0,0.0
9.0,7.0,0.0
9.0,8.0,0.0
9.0,9.0,0.0
9.0,10.0,0.0
9.0,11.0,1.0
9.0,12.0,0.0
9.0,13.0,0.0
9.0,14.0,0.0
9.0,15.0,0.0
9.0,16.0,0.0
9.0,17.0,0.0
