Round,BPP_final,BPP_current,P
0.0,2.0,17.0,0.0
0.0,3.0,1.0,0.3397
0.0,3.0,2.0,0.3942
0.0,3.0,3.0,0.2662
0.0,3.0,4.0,0.0
0.0,3.0,5.0,0.0
0.0,3.0,6.0,0.0
0.0,3.0,7.0,0.0
0.0,3.0,8.0,0.0
0.0,3.0,9.0,0.0
0.0,3.0,10.0,0.0
0.0,3.0,11.0,0.0
0.0,3.0,12.0,0.0
0.0,3.0,13.0,0.0
0.0,3.0,14.0,0.0
0.0,3.0,15.0,0.0
0.0,3.0,16.0,0.0
0.0,3.0,17.0,0.0
0.0,4.0,1.0,0.2724
0.0,4.0,2.0,0.2938
0.0,4.0,3.0,0.1438
0.0,4.0,4.0,0.29
0.0,4.0,5.0,0.0
0.0,4.0,6.0,0.0
0.0,4.0,7.0,0.0
0.0,4.0,8.0,0.0
0.0,4.0,9.0,0.0
0.0,4.0,10.0,0.0
0.0,4.0,11.0,0.0
0.0,4.0,12.0,0.0
0.0,4.0,13.0,0.0
0.0,4.0,14.0,0.0
0.0,4.0,15.0,0.0
0.0,4.0,16.0,0.0
0.0,4.0,17.0,0.0
0.0,5.0,1.0,0.2594
0.0,5.0,2.0,0.26
0.0,5.0,3.0,0.1044
0.0,5.0,4.0,0.1221
0.0,5.0,5.0,0.254
0.0,5.0,6.0,0.0
0.0,5.0,7.0,0.0
0.0,5.0,8.0,0.0
0.0,5.0,9.0,0.0
0.0,5.0,10.0,0.0
0.0,5.0,11.0,0.0
0.0,5.0,12.0,0.0
0.0,5.0,13.0,0.0
0.0,5.0,14.0,0.0
0.0,5.0,15.0,0.0
0.0,5.0,16.0,0.0
0.0,5.0,17.0,0.0
0.0,6.0,1.0,0.3401
0.0,6.0,2.0,0.268
0.0,6.0,3.0,0.1097
0.0,6.0,4.0,0.1116
0.0,6.0,5.0,0.1214
0.0,6.0,6.0,0.0492
0.0,6.0,7.0,0.0
0.0,6.0,8.0,0.0
0.0,6.0,9.0,0.0
0.0,6.0,10.0,0.0
0.0,6.0,11.0,0.0
0.0,6.0,12.0,0.0
0.0,6.0,13.0,0.0
0.0,6.0,14.0,0.0
0.0,6.0,15.0,0.0
0.0,6.0,16.0,0.0
0.0,6.0,17.0,0.0
0.0,7.0,1.0,0.1552
0.0,7.0,2.0,0.463
0.0,7.0,3.0,0.0997
0.0,7.0,4.0,0.1095
0.0,7.0,5.0,0.1253
0.0,7.0,6.0,0.0
0.0,7.0,7.0,0.0473
0.0,7.0,8.0,0.0
0.0,7.0,9.0,0.0
0.0,7.0,10.0,0.0
0.0,7.0,11.0,0.0
0.0,7.0,12.0,0.0
0.0,7.0,13.0,0.0
0.0,7.0,14.0,0.0
0.0,7.0,15.0,0.0
0.0,7.0,16.0,0.0
0.0,7.0,17.0,0.0
0.0,8.0,1.0,0.1483
0.0,8.0,2.0,0.1738
0.0,8.0,3.0,0.3934
0.0,8.0,4.0,0.113
0.0,8.0,5.0,0.1213
0.0,8.0,6.0,0.0
0.0,8.0,7.0,0.0
0.0,8.0,8.0,0.0501
0.0,8.0,9.0,0.0
0.0,8.0,10.0,0.0
0.0,8.0,11.0,0.0
0.0,8.0,12.0,0.0
0.0,8.0,13.0,0.0
0.0,8.0,14.0,0.0
0.0,8.0,15.0,0.0
0.0,8.0,16.0,0.0
0.0,8.0,17.0,0.0
0.0,9.0,1.0,5e-05
0.0,9.0,2.0,5e-05
0.0,9.0,3.0,5e-05
0.0,9.0,4.0,5e-05
0.0,9.0,5.0,5e-05
0.0,9.0,6.0,5e-05
0.0,9.0,7.0,5e-05
0.0,9.0,8.0,5e-05
0.0,9.0,9.0,5e-05
0.0,9.0,10.0,5e-05
0.0,9.0,11.0,5e-05
0.0,9.0,12.0,5e-05
0.0,9.0,13.0,5e-05
0.0,9.0,14.0,5e-05
0.0,9.0,15.0,5e-05
0.0,9.0,16.0,5e-05
0.0,9.0,17.0,5e-05
1.0,1.0,1.0,0.0
1.0,1.0,2.0,0.0
1.0,1.0,3.0,0.0
1.0,1.0,4.0,0.1695
1.0,1.0,5.0,0.1181
1.0,1.0,6.0,0.0
1.0,1.0,7.0,0.0
1.0,1.0,8.0,0.0
1.0,1.0,9.0,0.7123
1.0,1.0,10.0,0.0
1.0,1.0,11.0,0.0
1.0,1.0,12.0,0.0
1.0,1.0,13.0,0.0
1.0,1.0,14.0,0.0
1.0,1.0,15.0,0.0
1.0,1.0,16.0,0.0
1.0,1.0,17.0,0.0
1.0,10.0,1.0,0.0
1.0,10.0,2.0,0.0
1.0,10.0,3.0,0.0
1.0,10.0,4.0,0.0
1.0,10.0,5.0,0.2927
1.0,10.0,6.0,0.0
1.0,10.0,7.0,0.0
1.0,10.0,8.0,0.0
1.0,10.0,9.0,0.0
1.0,10.0,10.0,0.7073
1.0,10.0,11.0,0.0
1.0,10.0,12.0,0.0
1.0,10.0,13.0,0.0
1.0,10.0,14.0,0.0
1.0,10.0,15.0,0.0
1.0,10.0,16.0,0.0
1.0,10.0,17.0,0.0
1.0,11.0,1.0,0.0
1.0,11.0,2.0,0.0
1.0,11.0,3.0,0.0
1.0,11.0,4.0,0.0
1.0,11.0,5.0,0.0397
1.0,11.0,6.0,0.2414
1.0,11.0,7.0,0.1208
1.0,11.0,8.0,0.0393
1.0,11.0,9.0,0.0396
1.0,11.0,10.0,0.0383
1.0,11.0,11.0,0.481
1.0,11.0,12.0,0.0
1.0,11.0,13.0,0.0
1.0,11.0,14.0,0.0
1.0,11.0,15.0,0.0
1.0,11.0,16.0,0.0
1.0,11.0,17.0,0.0
1.0,12.0,1.0,0.0
1.0,12.0,2.0,0.0
1.0,12.0,3.0,0.0
1.0,12.0,4.0,0.0
1.0,12.0,5.0,0.0334
1.0,12.0,6.0,0.2087
1.0,12.0,7.0,0.1022
1.0,12.0,8.0,0.0293
1.0,12.0,9.0,0.0261
1.0,12.0,10.0,0.0334
1.0,12.0,11.0,0.0
1.0,12.0,12.0,0.5669
1.0,12.0,13.0,0.0
1.0,12.0,14.0,0.0
1.0,12.0,15.0,0.0
1.0,12.0,16.0,0.0
1.0,12.0,17.0,0.0
1.0,13.0,1.0,0.0019
1.0,13.0,2.0,0.0669
1.0,13.0,3.0,0.0591
1.0,13.0,4.0,0.0945
1.0,13.0,5.0,0.1462
1.0,13.0,6.0,0.116
1.0,13.0,7.0,0.061
1.0,13.0,8.0,0.0166
1.0,13.0,9.0,0.016
1.0,13.0,10.0,0.011
1.0,13.0,11.0,0.0164
