Round,OPP_final,OPP_current,P
0.0,2.0,17.0,0.0
0.0,3.0,1.0,0.3214
0.0,3.0,2.0,0.3782
0.0,3.0,3.0,0.3003
0.0,3.0,4.0,0.0
0.0,3.0,5.0,0.0
0.0,3.0,6.0,0.0
0.0,3.0,7.0,0.0
0.0,3.0,8.0,0.0
0.0,3.0,9.0,0.0
0.0,3.0,10.0,0.0
0.0,3.0,11.0,0.0
0.0,3.0,12.0,0.0
0.0,3.0,13.0,0.0
0.0,3.0,14.0,0.0
0.0,3.0,15.0,0.0
0.0,3.0,16.0,0.0
0.0,3.0,17.0,0.0
0.0,4.0,1.0,0.2696
0.0,4.0,2.0,0.3165
0.0,4.0,3.0,0.1267
0.0,4.0,4.0,0.2872
0.0,4.0,5.0,0.0
0.0,4.0,6.0,0.0
0.0,4.0,7.0,0.0
0.0,4.0,8.0,0.0
0.0,4.0,9.0,0.0
0.0,4.0,10.0,0.0
0.0,4.0,11.0,0.0
0.0,4.0,12.0,0.0
0.0,4.0,13.0,0.0
0.0,4.0,14.0,0.0
0.0,4.0,15.0,0.0
0.0,4.0,16.0,0.0
0.0,4.0,17.0,0.0
0.0,5.0,1.0,0.2554
0.0,5.0,2.0,0.2635
0.0,5.0,3.0,0.1095
0.0,5.0,4.0,0.1202
0.0,5.0,5.0,0.2514
0.0,5.0,6.0,0.0
0.0,5.0,7.0,0.0
0.0,5.0,8.0,0.0
0.0,5.0,9.0,0.0
0.0,5.0,10.0,0.0
0.0,5.0,11.0,0.0
0.0,5.0,12.0,0.0
0.0,5.0,13.0,0.0
0.0,5.0,14.0,0.0
0.0,5.0,15.0,0.0
0.0,5.0,16.0,0.0
0.0,5.0,17.0,0.0
0.0,6.0,1.0,0.3409
0.0,6.0,2.0,0.2687
0.0,6.0,3.0,0.1105
0.0,6.0,4.0,0.1123
0.0,6.0,5.0,0.1196
0.0,6.0,6.0,0.048
0.0,6.0,7.0,0.0
0.0,6.0,8.0,0.0
0.0,6.0,9.0,0.0
0.0,6.0,10.0,0.0
0.0,6.0,11.0,0.0
0.0,6.0,12.0,0.0
0.0,6.0,13.0,0.0
0.0,6.0,14.0,0.0
0.0,6.0,15.0,0.0
0.0,6.0,16.0,0.0
0.0,6.0,17.0,0.0
0.0,7.0,1.0,0.1511
0.0,7.0,2.0,0.4661
0.0,7.0,3.0,0.103
0.0,7.0,4.0,0.1093
0.0,7.0,5.0,0.1228
0.0,7.0,6.0,0.0
0.0,7.0,7.0,0.0477
0.0,7.0,8.0,0.0
0.0,7.0,9.0,0.0
0.0,7.0,10.0,0.0
0.0,7.0,11.0,0.0
0.0,7.0,12.0,0.0
0.0,7.0,13.0,0.0
0.0,7.0,14.0,0.0
0.0,7.0,15.0,0.0
0.0,7.0,16.0,0.0
0.0,7.0,17.0,0.0
0.0,8.0,1.0,0.152
0.0,8.0,2.0,0.1613
0.0,8.0,3.0,0.4017
0.0,8.0,4.0,0.113
0.0,8.0,5.0,0.1208
0.0,8.0,6.0,0.0
0.0,8.0,7.0,0.0
0.0,8.0,8.0,0.0512
0.0,8.0,9.0,0.0
0.0,8.0,10.0,0.0
0.0,8.0,11.0,0.0
0.0,8.0,12.0,0.0
0.0,8.0,13.0,0.0
0.0,8.0,14.0,0.0
0.0,8.0,15.0,0.0
0.0,8.0,16.0,0.0
0.0,8.0,17.0,0.0
0.0,9.0,1.0,5e-05
0.0,9.0,2.0,5e-05
0.0,9.0,3.0,5e-05
0.0,9.0,4.0,5e-05
0.0,9.0,5.0,5e-05
0.0,9.0,6.0,5e-05
0.0,9.0,7.0,5e-05
0.0,9.0,8.0,5e-05
0.0,9.0,9.0,5e-05
0.0,9.0,10.0,5e-05
0.0,9.0,11.0,5e-05
0.0,9.0,12.0,5e-05
0.0,9.0,13.0,5e-05
0.0,9.0,14.0,5e-05
0.0,9.0,15.0,5e-05
0.0,9.0,16.0,5e-05
0.0,9.0,17.0,5e-05
