BPP_final,OPP_final,BPP_win,P
15.0,1.0,1.0,1.0
15.0,10.0,0.0,0.0
15.0,10.0,1.0,1.0
15.0,11.0,0.0,0.0
15.0,11.0,1.0,1.0
15.0,12.0,0.0,0.0
15.0,12.0,1.0,1.0
15.0,13.0,0.0,0.0
15.0,13.0,1.0,1.0
15.0,14.0,0.0,0.0
15.0,14.0,1.0,1.0
15.0,15.0,0.0,0.7631
15.0,15.0,1.0,0.2369
15.0,16.0,0.0,1.0
15.0,16.0,1.0,0.0
15.0,17.0,0.0,1.0
15.0,17.0,1.0,0.0
15.0,2.0,0.0,0.0
15.0,2.0,1.0,1.0
15.0,3.0,0.0,0.0
15.0,3.0,1.0,1.0
15.0,4.0,0.0,0.0
15.0,4.0,1.0,1.0
15.0,5.0,0.0,0.0
15.0,5.0,1.0,1.0
15.0,6.0,0.0,0.0
15.0,6.0,1.0,1.0
15.0,7.0,0.0,0.0
15.0,7.0,1.0,1.0
15.0,8.0,0.0,0.0
15.0,8.0,1.0,1.0
15.0,9.0,0.0,0.0
15.0,9.0,1.0,1.0
16.0,1.0,0.0,0.0
16.0,1.0,1.0,1.0
16.0,10.0,0.0,0.0
16.0,10.0,1.0,1.0
16.0,11.0,0.0,0.0
16.0,11.0,1.0,1.0
16.0,12.0,0.0,0.0
16.0,12.0,1.0,1.0
16.0,13.0,0.0,0.0
16.0,13.0,1.0,1.0
16.0,14.0,0.0,0.0
16.0,14.0,1.0,1.0
16.0,15.0,0.0,0.0
16.0,15.0,1.0,1.0
16.0,16.0,0.0,0.56
16.0,16.0,1.0,0.44
16.0,17.0,0.0,1.0
16.0,17.0,1.0,0.0
16.0,2.0,0.0,0.0
16.0,2.0,1.0,1.0
16.0,3.0,0.0,0.0
16.0,3.0,1.0,1.0
16.0,4.0,0.0,0.0
16.0,4.0,1.0,1.0
16.0,5.0,0.0,0.0
16.0,5.0,1.0,1.0
16.0,6.0,0.0,0.0
16.0,6.0,1.0,1.0
16.0,7.0,0.0,0.0
16.0,7.0,1.0,1.0
16.0,8.0,0.0,0.0
16.0,8.0,1.0,1.0
16.0,9.0,0.0,0.0
16.0,9.0,1.0,1.0
17.0,1.0,0.0,0.0
17.0,1.0,1.0,1.0
17.0,10.0,0.0,0.0
17.0,10.0,1.0,1.0
17.0,11.0,0.0,0.0
17.0,11.0,1.0,1.0
17.0,12.0,0.0,0.0
17.0,12.0,1.0,1.0
17.0,13.0,0.0,0.0
17.0,13.0,1.0,1.0
17.0,14.0,0.0,0.0
17.0,14.0,1.0,1.0
17.0,15.0,0.0,0.0
17.0,15.0,1.0,1.0
17.0,16.0,0.0,0.0
17.0,16.0,1.0,1.0
17.0,17.0,0.0,0.5104
17.0,17.0,1.0,0.4896
17.0,2.0,0.0,0.0
17.0,2.0,1.0,1.0
17.0,3.0,0.0,0.0
17.0,3.0,1.0,1.0
17.0,4.0,0.0,0.0
17.0,4.0,1.0,1.0
17.0,5.0,0.0,0.0
17.0,5.0,1.0,1.0
17.0,6.0,0.0,0.0
17.0,6.0,1.0,1.0
17.0,7.0,0.0,0.0
17.0,7.0,1.0,1.0
17.0,8.0,0.0,0.0
17.0,8.0,1.0,1.0
17.0,9.0,0.0,0.0
17.0,9.0,1.0,1.0
2.0,1.0,0.0,0.0
2.0,1.0,1.0,1.0
2.0,10.0,0.0,1.0
2.0,10.0,1.0,0.0
2.0,11.0,0.0,1.0
2.0,11.0,1.0,0.0
2.0,12.0,0.0,1.0
2.0,12.0,1.0,0.0
2.0,13.0,0.0,1.0
2.0,13.0,1.0,0.0
2.0,14.0,0.0,1.0
2.0,14.0,1.0,0.0
2.0,15.0,0.0,1.0
2.0,15.0,1.0,0.0
2.0,16.0,0.0,1.0
2.0,16.0,1.0,0.0
2.0,17.0,0.0,1.0
2.0,17.0,1.0,0.0
2.0,2.0,0.0,0.5104
2.0,2.0,1.0,0.4896
2.0,3.0,0.0,1.0
2.0,3.0,1.0,0.0
2.0,4.0,0.0,1.0
2.0,4.0,1.0,0.0
2.0,5.0,0.0,1.0
2.0,5.0,1.0,0.0
2.0,6.0,0.0,1.0
2.0,6.0,1.0,0.0
2.0,7.0,0.0,1.0
2.0,7.0,1.0,0.0
2.0,8.0,0.0,1.0
2.0,8.0,1.0,0.0
2.0,9.0,0.0,1.0
2.0,9.0,1.0,0.0
3.0,1.0,0.0,0.0
3.0,1.0,1.0,1.0
3.0,10.0,0.0,1.0
